Movie Title;IMdb Code;Soundtrack(Song Name$Artists%)
The Shawshank Redemption;/title/tt0111161/;If I Didn't Care $by Jack Lawrence Performed by The Ink Spots Courtesy of MCA Records %Duettino - Sull'aria $from opera "Le nozze di Figaro (The Marriage of Figaro)" Composed by Wolfgang Amadeus Mozart Libretto by Lorenzo da Ponte (uncredited) Performed by Edith Mathis (uncredited) and Gundula Janowitz (uncredited) Chor und Orchester der Deutschen Oper Berlin Conducted by Karl Böhm Courtesy of Deutsche Grammophon, by arrangement with PolyGram Special Markets %Put The Blame On Mame $by Allan Roberts and Doris Fisher Heard on "Gilda" soundtrack %Lovesick Blues $by Cliff Friend and Irving Mills Performed by Hank Williams Courtesy of PolyGram Special Markets %Willie and The Hand Jive $by Johnny Otis Courtesy of Capitol Records Under license from CEMA Special Markets %A Mighty Fortress Is Our God $(uncredited) Written by Martin Luther Performed by Bob Gunton %
The Godfather;/title/tt0068646/;Mall Wedding Sequence $(1972) Music by Carmine Coppola %I Have But One Heart $(1945) Music by Johnny Farrow Lyrics by Marty Symes Performed by Al Martino (uncredited) %Luna mezz' 'o mare $(aka "Che La Luna") Composed by Paolo Citarella Performed by Morgana King (uncredited) %Manhattan Serenade $(1928) Music by Louis Alter Performed by Tommy Dorsey & His Orchestra (uncredited) %Have Yourself a Merry Little Christmas $(1944) Written by Hugh Martin and Ralph Blane Performed by Al Martino (uncredited) %Santa Claus Is Coming To Town $(1934) Written by Haven Gillespie, J. Fred Coots %The Bells of St. Mary's $(1971) Music by A. Emmett Adams (as A.E. Adams) Lyrics by Douglas Furber %All Of My Life $(1944) Written by Irving Berlin %Mona Lisa $(1950) Lyrics by Jay Livingston Music by Ray Evans %Passacaglia and Fugue in C minor, BWV 582 $(1706-1713) (Baptism sequence) Music by Johann Sebastian Bach %Non so più $(1786) (uncredited) (Cherubino's Aria) from opera "Le nozze di Figaro" Act I, Scene V Music by Wolfgang Amadeus Mozart Libretto by Lorenzo da Ponte %Brindisi (Libiamo ne' lieti calici) $(1853) (uncredited) From La Traviata Music by Giuseppe Verdi Libretto by Francesco Maria Piave %This Loneliness $(1972) (uncredited) Written and Performed by Carmine Coppola %For He's a Jolly Good Fellow $(uncredited) Traditional Sung by all at Michael's birthday party %Antico Canto Siciliano $(uncredited) %Solid Potato Salad $(uncredited) Written by Don Raye and Gene de Paul %
The Dark Knight;/title/tt0468569/;Balmoral $Performed by The Pipes and Drums of the Chicago Police Department %Scatterin' Monkey $(1998) Written by Masayuki Nakano and Michiyuki Kawashima Performed by Boom Boom Satellites Courtesy of Epic Records & Sony Music Entertainment (Japan) Inc. By Arrangement with Sony BMG Music Entertainment %4 A Moment of Silence $(1998) Written by Masayuki Nakano and Michiyuki Kawashima Performed by Boom Boom Satellites Courtesy of Epic Records & Sony Music Entertainment (Japan) Inc. By Arrangement with Sony BMG Music Entertainment %Andante from String Quartet in a minor D. 804, 'Rosamunde' $(1824) (uncredited) Written by Franz Schubert %
The Godfather Part II;/title/tt0071562/;Senza Mamma $(F. Pennino Edition) Francesco Pennino Performed by Livio Giorgi %Napule Ve Salute $Francesco Pennino Performed by Livio Giorgi %Mr. Wonderful $Jerry Bock Lawrence Holofcener (as Larry Holofcener) George David Weiss (as George Weiss) %Heart and Soul $Frank Loesser and Hoagy Carmichael %Guantanamera $(uncredited) Written by Julian Orbon, Pete Seeger, José Fernández Díaz, Hector Angulo and José Martí %The Star-Spangled Banner $(1814) (uncredited) Music based on "The Anacreontic Song" by John Stafford Smith %For He's a Jolly Good Fellow $(uncredited) Traditional %Pop Goes the Weasel $(uncredited) Traditional English nursery rhyme (first published 1855) %U Sciccareddu Sicilianu $(uncredited) Traditional %
12 Angry Men;/title/tt0050083/;Dance of the Cuckoos $(uncredited) Music by Marvin Hatley Portion whistled by Jack Warden %
Schindler's List;/title/tt0108052/;Mamatschi (Mommy, Buy Me a Pony) $Written by Oskar Schima and Franz Xaver Kappus (as F.X. Kappus) Performed by Mimi Thoma Courtesy of The RCA Records Label of BMG Music %God Bless The Child $Written by Billie Holiday and Arthur Herzog Jr. Performed by Billie Holiday Courtesy of MCA Records %La Capricieuse Opus 17 $Composed by Edward Elgar Arranged by Jascha Heifetz Performed by Itzhak Perlman on Violin and Sam Sanders on Piano Courtesy of EMI Classics Under license from CEMA Special Markets %Die Holzauktion $Written by Otto Teich Performed by Rudi Scherfling With the Egon Kaiser Orchestra Courtesy of BMG Ariola Muenchen GmbH %Gute Nacht Mutter $Composed by Werner Bochmann Text by Erwin Lehnow Arranged by Werner Eisbrenner for Electrola Performed by Wilhelm Strienz and FFB Orchestra Conducted by Werner Eisbrenner Courtesy of EMI Classics Under license from CEMA Special Markets %Oyf 'n Pripetshok $(uncredited) Composed by Mark Warschafsky Performed by The Li-Ron Herzeliya Children's Choir Tel-Aviv Conducted by Ronit Shapira %Yeroushalaim Shel Zahav $(Jerusalem of Gold) Written by Naomi Shemer Performed by The Ramat Gan Chamber Choir Tel-Aviv Conducted by Hana Tzur %Por Una Cabeza $(uncredited) Music by Carlos Gardel %Meine Lippen, Sie Küssen So Heiss $(uncredited) from operetta "Giuditta" Music by Franz Lehár (plays workers welcome Schindler, then kisses to girls) %To Ostatnia Niedziela $(uncredited) Written by Jerzy Petersburski Performed by Jacek Wójcicki %English Suite No.2 in A Minor $(uncredited) Written by Johann Sebastian Bach Performed by Johann Sebastian Bach %Mein Vater War Ein Wandersmann $(uncredited) Written by Friedrich-Wilhelm Möller Performed by Friedrich-Wilhelm Möller %Auf Der Heide Blueht Ein Kleines Bluemelein $(uncredited) Written by Herms Niel Performed by Herms Niel %Szomorú Vasárnap $(uncredited) Written by Rezsö Seress Performed by Rezsö Seress %Sus Ojos Se Cerraron $(uncredited) Music by Carlos Gardel %Milosc ci wszystko wybaczy $Music by Henry Vars Lyrics by Julian Tuwim Performed by Hanka Ordonówna %
The Lord of the Rings: The Return of the King;/title/tt0167260/;Into the West $Words and Music by Howard Shore, Fran Walsh, and Annie Lennox Performed by Annie Lennox Annie Lennox appears courtesy of BMG Ariola Munchen GmbH %The Green Dragon $Music by David Donaldson, David Long, Steve Roche (as Stephen Roche), and Janet Roddick Lyrics by Philippa Boyens Performed by Billy Boyd and Dominic Monaghan Courtesy of Mana Music %The Edge of Night $Music by Billy Boyd Lyrics by J.R.R. Tolkien Performed by Billy Boyd Adapted by Philippa Boyens Orchestration by Howard Shore %Aragorn's Coronation $Music by Viggo Mortensen Lyrics by J.R.R. Tolkien Performed by Viggo Mortensen %The House of Healing $(The Lord of The Rings: The Return of the King - The Extended Edition) Music by Howard Shore Performed by Liv Tyler %A Shadow Lies Between Us $(uncredited) Music by Howard Shore Lyrics by J.R.R. Tolkien Performed by Liv Tyler %
Pulp Fiction;/title/tt0110912/;Misirlou $Written by Fred Wise, Milton Leeds, Bob Russell, and Nicholas Roubanis Performed by Dick Dale & His Del-Tones Courtesy of Rhino Records %It's Country $(uncredited) Music by Ole Georg (as Henrik Nielsen) Published by Kronborg Music (BMI) Courtesy of Capitol/Ole Georg Music %Jungle Boogie $Written by Ronald Bell, Claydes Smith, George 'Funky' Brown (as George Brown), Robert 'Spike' Mickens (as Robert Mickens), Don Boyce, Ricky Westfield, Dennis D.T. Thomas (as Dennis Thomas), and Robert 'Kool' Bell (as Robert Bell) Performed by Kool & The Gang Courtesy of Polygram Special Markets %Strawberry Letter #23 $Written by Shuggie Otis Performed by Brothers Johnson Courtesy of A&M Records, Inc. %Bustin' Surfboards $Written by Gerald Sanders, Jesse Sanders, Norman Sander and Leonard Delaney Performed by The Tornadoes Courtesy of GNP Crescendo Records %Let's Stay Together $Written by Al Green, Al Jackson Jr., and Willie Mitchell Performed by Al Green Courtesy of HI Records Under License From CEMA Special Markets %Son Of A Preacher Man $Written by John Hurley, Ronnie Wilkins Performed by Dusty Springfield Courtesy of Atlantic Recording Corp. By Arrangement with Warner Special Products & Polygram Record Operations Limited %Bullwinkle Part II $Written by Dennis Rose, Ernest Furrow Performed by The Centurians Courtesy of Del-Fi Records, Inc. %Waitin' In School $Written by Johnny Burnette and Dorsey Burnette Performed by Gary Shorelle Produced by Joseph Vitarelli and Nicholas Viterelli (as Nick Viterelli) %Lonesome Town $Written by Baker Knight Performed by Ricky Nelson Courtesy of EMI Records USA, A Division of ERG Under License From CEMA Special Markets %Ace Of Spades $Written by Link Wray (as F.L. Wray Sr.) and Milt Grant (as M. Cooper) Performed by Link Wray Courtesy of Rollercoaster Records, England %Rumble $Written by Link Wray (as F.L. Wray Sr.) and Milt Grant (as M. Cooper) Performed by Link Wray And His Raymen Courtesy of Rollercoaster Records, England %Since I First Met You $Written by H.B. Barnum Performed by The Robins Courtesy of GNP Crescendo Records %Teenagers In Love $Written by William Rosenauer Performed by Woody Thorne Courtesy of GNP Crescendo Records %You Never Can Tell $Written by Chuck Berry Performed by Chuck Berry Courtesy of MCA Records %Girl, You'll Be A Woman Soon $Written by Neil Diamond Performed by Urge Overkill Courtesy of Touch And Go Records, Inc. %If Love Is A Red Dress (Hang Me In Rags) $Written by Maria McKee Performed by Maria McKee Courtesy of Geffen Records %Flowers On The Wall $Written by Lew DeWitt (as Lewis DeWitt) Performed by The Statler Brothers Courtesy of Mercury/Nashville By Arrangement With Polygram Special Markets %Out Of Limits $Written by Michael Z. Gordon (as Michael Gordon) Performed by The Marketts Courtesy of Go-Jo Music %Surf Rider $Written by Bob Bogle, Nole Edwards, Don Wilson Performed by The Lively Ones Courtesy of Del-Fi Records Inc. By Arrangement with Rhino Records %Comanche $Written by The Revels Performed by The Revels Courtesy of Downey Records %Ole, Ole $(uncredited) Music by David Snell Published by Bruton Music (ASCAP) Courtesy of Associated Production Music %
The Lord of the Rings: The Fellowship of the Ring;/title/tt0120737/;Flaming Red Hair $Music Composed and Performed by David Donaldson, David Long, Steve Roche (as Stephen Roche), Janet Roddick with Peter Daly, Chris O'Connor, Ruairidh Morrison, and Grant Shearer Courtesy of Mana Music %The Road Goes Ever On $(uncredited) Music by Howard Shore Lyrics by J.R.R. Tolkien Performed by Ian McKellen and Ian Holm %In Dreams $Written by Fran Walsh and Howard Shore Performed by Edward Ross Courtesy of Reprise Records %May It Be $Written by Enya and Roma Ryan Performed by Enya Played during the end credits %Aníron $Composed and Performed by Enya %To The Bottle I Go $(uncredited) Written by Fran Walsh and Philippa Boyens Performed by Billy Boyd, Dominic Monaghan and Elijah Wood %The Song of Beren and Luthien $(uncredited) Music by Howard Shore Lyrics by J.R.R. Tolkien Performed by Viggo Mortensen %
The Good, the Bad and the Ugly;/title/tt0060196/;The Story Of A Soldier $by Tommie Connor %The Ecstasy of Gold $Written by Ennio Morricone %
